index,content
谈⼀下ZAB协议(原⼦⼴播协议),ZAB协议是Paxos算法的⼀种简化实现，包括消息⼴播和崩溃恢复两种模式，消息⼴播就是类似于2PC过程，主节点接收数据，然后⼴播给从节点，并等待所有从节点的反馈后再统⼀提交；崩溃恢复就是在执⾏过程中发⽣了故障(⽐如从节点没反馈就挂了、主节点提交了但是从节点没提交)，能确保数据的⼀致性，ZAB的过半选举机制，通过最新zxid来确保新主节点有相对最新的数据。
ZAB和Paxos算法的联系与区别,相同点：存在类似于2PC的操作，主节点负责写，由主节点协调其它从节点运⾏ 主节点会等待过半以上从节点反馈之后，再进⾏提案提交，每个提案中都包含⼀个周期值；不同点：ZAB是⽤来构建⾼可⽤分布式主备系统的Paxos是⽤来构建分布式⼀致性状态机系统的。
谈⼀下IOC的理解,IOC主要涉及三个部分，分别是IOC容器、控制反转以及依赖注⼊。IOC容器：Spring会通过包扫描将相关的Bean注册成BeanDefinition存放BeanDefinitionMap， 当需要获取对象的时候，会通过这个Map拿出指定Bean的BeanDefinition通过反射去创建返回；控制反转：对象创建由主动创建变为了被动创建，全部交给了BeanFactory统⼀创建；依赖注⼊：IOC容器会将对象的依赖关系进⾏依赖动态注⼊，也就是有依赖关系的属性初始化 前进⾏赋值。
ApplicationContext和BeanFactory的区别,BeanFactory是Spring中⾮常核⼼的组件，专⻔⽤来⽣成Bean、管理Bean的ApplicationContext继承于BeanFactory，所以具有BeanFactory所有功能，并ApplicationContext还集成了⽐如EnvironmentCapable、MessageSource、ApplicationEventPublisher等接⼝，从⽽具备了获取系统环境变量、国际化、时间发布等功能。
谈⼀下Spring启动,Spring启动我们可以通过AnnotationConfigApplicationContext来进⾏跟踪通过调⽤AnnotationConfigApplicationContext的构造⽅法进⾏初始化reader和scanner通过scan扫描指定包路径下的class⽂件并注册成BeanDefinition放到BeanDefinitionMap 中调⽤核⼼⽅法refresh进⾏刷新容器prepareRefresh进⾏刷新前准备obtainFreshBeanFactory进⾏获取容器刷新时的Bean⼯⼚prepareBeanFactory进⾏Bean⼯⼚的初始化预处理postProcessBeanFactory进⾏处理⼦类重写该⽅法的逻辑，对Bean⼯⼚进⼀步处理	invokeBeanFactoryPostProcessors进⾏执⾏Bean⼯⼚后置处理器	registerBeanPostProcessors进⾏注册Bean后置处理器initMessageSource进⾏初始化国际化initAppplicationEventMulticaster进⾏初始化事件⼴播器onRefresh进⾏⼦类重写该⽅法，留给⼦容器registerListeners进⾏注册监听器finishBeanFactoryInitialization完成Bean⼯⼚初始化finishRefresh结束容器刷新
什么是bean的⾃动装配,在Spring框架中，在配置⽂件中设定Bean的依赖关系是⼀个很好的机制，Spring 容器能够⾃动装配相互合作的bean，这意味着容器不需要和配置，能通过Bean⼯⼚⾃动处理Bean之间的协作，这意味着 Spring可以通过向BeanFactory中注⼊的⽅式⾃动搞定Bean之间的依赖关系，⾃动装配可以设置在每个Bean上，也可以设定在特定的Bean上。
谈⼀下Bean的⽣命周期,启动容器ApplicationContext ；创建BeanFactory；初始化BeanFactory ；BeanFactory后置处理：此时会通过将指定包路径下的class⽂件封装成Resource对象，然后遍历Resource对象，通过MetadataReaderFactory去解析Resource对象得到对应的MetadataReader，MetadataReader包含了类元数据信息、接⼝信息、注解信息等；通过MetadataReader去判断类是否能标识为Bean的注解信息以及是否有条件注解，如果有@Component注解就被归到includerFilter，如果加了@Conditional注解就得进⾏match匹配，匹配通过才算includerFilter，否则就属于excludeFilter，对于所有includerFilter都会⽣成ScannedGenericBeanDefinition，然后再基于MetadataReader去判断是否是独⽴的类，如果是筛选都通过，就会将ScannedGenericBeanDefinition放⼊集合中；⽣成BeanDefinition；合并BeanDefinition：如果BeanDefinition有⽗BeanDeifinition，会将子BeanDefinition中没有的属性从⽗，BeanDeifinition复制过来重新⽣成⼀个新的BeanDeifinition为RootBeanDefinition；加载类：通过对应的类加载器去加载BeanDefinition中的beanClass，如果是beanClass是Class类型就进⾏类加载，反之不加载；实例化前：会调⽤扩展点InstantationAwareBeanPostProcess#prostProcessBeforeInstantation，这⾥返回的对象只会经历初始化前的⽣命周期，只会进⾏初始化这⼀步 ；实例化：会判断是否通过Supplier创建对象，如果有就创建返回，⽽创建对象有两种⽅式，分别 是FactoryBean和FactoryMethod，⽽@Bean注解的⽅式属于FactoryBean，如果加了static属于FactoryMethod；推断构造⽅法：如果类中只有⼀个⽆参构造就使⽤⽆参的进⾏实例化，如果类中存在多个构造：如果有⽆参构造，依然使⽤⽆参构造如果没有⽆参构造，就会报错；如果没有⽆参但是通过@Autowired指定了某个构造，那么Spring就会先根据⽅法参数去单例池中找Bean，⾸先先通过参数类型去找，如果找到⼀个就进⾏赋值返回，如果找到多个，就会根据参数名去找，如果找到⼀个就进⾏赋值返回如果依然找到多个就会报错；BeanDefinition后置处理：会调⽤扩展点MergedBeanDefinitionPostProcessor#postProcessMergedBeanDefinition，可以在这⾥对BeanDefinition进⾏加⼯；实例化后：会调⽤扩展点InstantationAwareBeanPostProcessor#postProcessAfterInstantation；⾃动注⼊；填充属性：会对@Autowired、@Resource、@Value进⾏处理，主要是通过InstantationAwareBeanPostProcessor#postProcessProperties完成的填充属性，我们也 可以⾃定义；执⾏Aware接⼝：提供了⼀些回调接⼝，⽐如BeanNameAware、ClassLoaderAware、BeanFactoryAware 给我们使⽤；初始化前：会调⽤扩展点BeanPostProcessor#postProcessBeforeInitialization 处理@PostConstruct逻辑，执⾏其他回调接⼝，⽐如EnvirnmentAware ；初始化：会调⽤扩展点InitializationBean#afterPropertiesSet ；初始化后：会调⽤扩展点BeanPostProcessor#postProcessAfterInitialization以及AOP的处理。
谈⼀下依赖注⼊流程,依赖注⼊流程主要分为两种：@Autowired注解的⽅法和@Autowired注解的属性，⾸先会根据注⼊点去找Bean，如果注解了的是属性，会先根据属性的类型去找Bean，如果注解的是⽅法，会先根据⽅法参数的类型去找Bean，如果找到了单个Bean就会直接赋值返回，如果找到了多个Bean，会从多个Bean中确定⼀个Bean，会先判断是否是isAutowiredCandidate再判断是否配合了@Qulifier，如果能确定就返回，如果加了@Primary，就返回加了这个注解的Bean，如果没有加@Primary，就会取优先级最⾼的Bean，如果以上还不能确定，就根据名字筛选，如果注解了的是属性，会通过属性名去确定⼀个Bean，如果注解了的是⽅法，会通过参数名去确定⼀个Bean，如果根据名字不能找到唯⼀的Bean就会再看@Autowired的required是否为true，如果是true就报错，如果是false就返回。
事务传播⾏为,PROPAGATION_REQUIRED，默认传播⾏为，如果当前不存在事务就创建新事务，否则就加⼊当前事务；PROPAGATION_SUPPORTS，如果当前不存在事务就以⾮事务运⾏，否则就加⼊前事务；PROPAGATION_MANDATORY，如果当前不存在事务就报错，否则就加⼊前事务；PROPAGATION_REQUIRES_NEW，每次都会创建新事务；PROPAGATION_NOT_SUPPORTED，如果当前存在事务，就将当前事务挂起，否则以⾮事务运⾏；PROPAGATION_NEVER，如果当前存在事务就报错，否则以⾮事务运⾏；PROPAGATION_NESTED，如果当前存在事务，就嵌套事务内运⾏，如果不存在事务就按照PROPAGATION_REQUIRED运⾏；
循环依赖如何解决,循环依赖就是多个对象之间存在属性相互依赖的问题，也就是先有鸡还是先有蛋的问题如何解决循环依赖问题：可以通过@Lazy注解解决构造⽅法造成的循环依赖问题；可以使⽤Spring提供的三级缓存来解决。三级缓存：⼀级缓存singletonObjects，⽤来存放完整⽣命周期的对象；⼆级缓存earlySingletonObjects，⽤来存放半成品对象，也就是初始化的对象；三级缓存singletonFactories，⽤来存放ObjectFactroy，根据不同的情况创建对象。对于处理对象之间普通的循环依赖，可以先将new出来的不完整对象放到⼆级缓存中，当其中⼀个循环依赖的对象完成⽣命周期放⼊⼀级缓存之后，由于放⼊缓存中对象存在引⽤关系，不完整的对象也完整了，然后另外⼀个对象也能正常⾛完⽣命周期了。对于处理对象之间有AOP的循环依赖，⼀级缓存和⼆级缓存就完全不够了，三级缓存会保存对象的代理配置信息，当发现产⽣循环依赖就会通过ObjectFactory进⾏创建动态代理类，提前进⾏AOP，相应的⼀级缓存存放的是⼀个代理对象。核⼼代码位置DefaultSingletonBeanRegistry#getSingleton。
Spring中的设计模式有哪些,简单⼯⼚：由⼀个⼯⼚类根据传⼊的参数，动态决定应该创建哪个实例，Spring中的BeanFactory就是简单⼯⼚模式的体现，根据传⼊⼀个唯⼀的标识来获得Bean对象，但是否是在传⼊参数后创建还是传⼊参数前创建这个要根据具体情况来定。⼯⼚⽅法：实现了FactoryBean接⼝的bean是⼀类叫做factory的bean，spring会在使⽤getBean()调⽤获得该bean时，会⾃动调⽤该bean的getObject()⽅法，所以返回的不是factory这个bean，⽽是这个bean.getOjbect()⽅法的返回值。单例模式：保证⼀个类仅有⼀个实例，并提供⼀个访问它的全局访问点，Spring中的单例模式完成了后半句话，即提供了全局的访问点BeanFactory，但没有从构造器级别去控制单例，这是因为spring管理的是任意的java对象。适配器模式：Spring定义了⼀个适配接⼝，使得每⼀种Controller有⼀种对应的适配器实现类，让适配器代替controller执⾏相应的⽅法，这样在扩展Controller时，只需要增加⼀个适配器类就完成了SpringMVC的扩展了。装饰器模式：动态地给⼀个对象添加⼀些额外的职责。就增加功能来说，Decorator模式相⽐⽣成⼦类更为灵活，Spring中⽤到的包装器模式在类名上有两种表现：⼀种是类名中含有Wrapper，另⼀种是类名中含有Decorator。动态代理:切⾯在应⽤运⾏的时刻被织⼊，⼀般情况下，在织⼊切⾯时，AOP容器会为⽬标对象创建动态的创建⼀个代理对象，Spring就是这样织⼊切⾯的。观察者模式:Spring的事件驱动模型使⽤的是观察者模式，Spring中Observer模式常⽤的地⽅是Listener的实现。策略模式:Spring框架的资源访问Resource接⼝。该接⼝提供了更强的资源访问能⼒Spring框架本身⼤量使⽤了Resource 接⼝来访问底层资源。模板⽅法:⽗类定义了骨架(调⽤哪些⽅法及顺序)，某些特定⽅法由⼦类实现refresh⽅法。
Spring MVC请求流程,⽤户发送请求到前端控制器DispatcherServlet；DispatcherServlet收到请求调⽤HandlerMapping处理映射器，处理映射器根据请求URI找到具体的处理器⽣成处理器和处理器拦截器并且返回给DispatcherServlet；DispatcherServlet调⽤HandlerAdapter处理器适配器；HandlerAdapter经过适配器调⽤具体的⻚⾯控制器(Controller)，⻚⾯控制器(Controller)执⾏完返回ModelAndView；HandlerAdapter将ModelAndView返回给DispatcherServlet；DispatcherServlet将ModelAndView传给ViewResolver视图解析器，ViewResolver解析后返回给具体的View；DispatcherServlet根据View进⾏渲染视图也就是将模型数据填充到视图中；DispatcherServlet响应⽤户。
Spring Boot常⽤注解,@SpringBootApplication这个注解标识了⼀个SpringBoot⼯程，它实际上是另外三个注解的组合；@SpringBootConfiguration这个注解实际就是⼀个@Configuration，表示启动类也是⼀个配置类；@EnableAutoConfiguration向Spring容器中导⼊⼀个Selector⽤来加载classpath下spring.factories中定义的⾃动配置类，将这些⾃动加载为配置Bean；@ComponentScan表示扫描路径，因为默认是没有配置实际扫描路径的，所以SpringBott扫描的路径是启动类所在的当前⽬录；@Bean⽤来定义Bean，类似于XML中<bean>，Spring在启动的时候会对这些@Bean注解的方法进⾏解析，将⽅法的名字作为beanName，并通过执⾏⽅法得到Bean对象。
SpringBoot是如何启动Tomcat的,⾸先SpringBoot在启动时会先创建⼀个Spring容器；在创建Spring容器过程中，会利⽤@ConditionalOnClass技术来判断当前classpath中是否存在Tomcat依赖，如果存在则会⽣成⼀个启动Tomcat的Bean；Spring容器创建完之后，就会获取启动Tomcat的Bean，并创建Tomcat对象，并绑定端⼝等，然后启动Tomcat。
Spring Cloud核⼼组件以及作⽤,Eureka: 注册中⼼Nacos: 注册中⼼、配置中⼼Consul: 注册中⼼、配置中⼼Spring Cloud Config: 配置中⼼Feign/OpenFeign: RPC调⽤Kong: 服务⽹关Zuul: 服务⽹关Spring Cloud Gateway: 服务⽹关Ribbon: 负载均衡Spring Cloud Sleuth: 链路追踪Zipkin: 链路追踪Seata: 分布式事务Dubbo: RPC调⽤Sentinel: 服务熔断Hystrix: 服务熔断
Eureka的数据同步原理,Eureka是⼀个服务注册中⼼，对于集群之间的数据同步，采⽤对等复制的⽅式，也就是不存在主从之分，任何⼀个节点都可以接收和写⼊，⼀旦有⼀个节点数据发⽣变更，就会直接同步到其他节点上；Eureka这种⽆中⼼化节点的数据同步，需要考虑数据同步死循环的问题，也就是需要区分数据来源(属于客户端传来的数据还是集群中其他节点发来的同步数据)，Eureka通过时间戳的标记来区分；Eureka从数据同步上来看采⽤AP机制，对数据不提供强⼀致性保障。
谈⼀下分布式事务,本地事务就是对于操作单⼀数据库的场景下的事务，ACIO特性是数据库直接⽀持的。分布式事务就是在分布式环境下，需要保证不同服务的数据⼀致性，⼀般⽤于跨库事务、跨服务调⽤。分布式事务的实现⽅式：基于2PC两阶段提交：准备阶段，协调者通知参与者准备提交各⾃的事务；提交阶段，参与者反馈，协调者通过反馈去决定执⾏事务提交或回滚。基于3PC三阶段提交：3PC提交建⽴在2PC提交的基础上，将准备阶段拆分两步并且引⼊超时机制，询问阶段，协调者向参与者询问是否都能提交；预提交阶段，参与者能提交就先提交并且向协调者反馈，如果不能就放弃；提交阶段，协调者处理最终事务提交。分布式事务存在的问题：在准备阶段会出现同步阻塞，第⼀时间收到通知的服务会锁定资源，直到提交才会释放；容易出现单点故障，协调者⼀旦挂了，参与者都会阻塞，提别是提交阶段；可能造成数据不⼀致，如果提交阶段出现问题，可能导致⼀部分参与者的数据不⼀致。对于分布式事务，在实际⽣产中可以异常落表定时⾃动巡检、基于RocketMQ事务消息、基于Seata：异常落表定时⾃动巡检，当分布式事务执⾏失败时，将失败的信息记录到⼀张特殊的表中，然后通过定时任务去巡检这张表，对失败的事务进⾏重试或其他补偿操作；基于RocketMQ事务消息，RocketMQ⽀持事务消息，先发送⼀条半事务的消息，待本地事务执⾏成功后再提交这条消息，如果失败则回滚；基于Seata，Seata⽀持多种2PC模式。
谈谈对Seata的理解,Seata是⽤于处理分布式事务的解决⽅案，提供了AT、TCC、SAGA和XA事务模式，AT模式⾸推。AT模式的核⼼是对业务⽆侵⼊的：第⼀阶段，会将业务数据以及undo⽇志(回滚⽇志)进⾏本地事务提交，释放本地锁以及连接；第⼆阶段，如果提交，会将undo⽇志删除，如果回滚，会通过undo⽇志反向解析SQL语句进⾏回滚。XA模式是⼀个强⼀致性的2PC模式：每个分⽀的事务必须都完成之后，才进⾏提交。TCC模式对业务有侵⼊性的2PC模式：每个分⽀的事务都需要具备⾃⼰的两阶段，适⽤于复杂业务场景，try阶段⽤于进⾏业务的检查，预留必要的业务资源，confirm阶段⽤于具体业务的实现，cancel阶段⽤于事务执⾏失败之后，释放try阶段预留的资源。SAGA模式是基于状态机引擎的2PC模式：将⻓事务拆分为多个本地⼦事务以及相应的补偿操作来保证数据⼀致性。
